Sample ID,Peak 1,Trough 1,Breakdown,Final Visc,Setback,Peak Time,Pasting Temp
175,6861,2650,4211,3818,1168,3.866666667,72.6
177,6759,2643,4116,3764,1121,4.066666667,76.6
178,6313,2477,3836,3379,902,3.733333333,72.55
179,6249,2234,4015,3308,1074,3.733333333,74.2
180,6464,2500,3964,3691,1191,4,75.05
181,6736,2445,4291,3579,1134,3.866666667,74.25
182,6525,2280,4245,3451,1171,3.866666667,75.15
183,6138,2866,3272,4454,1588,4.133333333,73.4
184,6251,2007,4244,3005,998,3.8,70.95
185,6775,2391,4384,3587,1196,3.733333333,74.2
186,7041,2524,4517,3763,1239,3.8,74.25
188,7077,2615,4462,3836,1221,3.933333333,73.4
189,8000,3112,4888,3363,251,3.866666667,73.45
190,7459,2683,4776,4177,1494,4,75.1
191,7596,3173,4423,4152,979,4.333333333,73.5
192,7487,3318,4169,5190,1872,4.333333333,74.3
194,6104,1198,4906,1785,587,3.933333333,75.85
195,7106,2676,4430,3918,1242,4.066666667,75.8
196,6972,2517,4455,3701,1184,3.8,74.25
198,7089,2604,4485,3656,1052,3.933333333,75.1
200,8000,3216,4784,4412,1196,3.666666667,75.1
201,7087,2807,4280,3736,929,4.2,73.4
202,5945,1294,4651,1966,672,3.933333333,76.7
204,7055,2635,4420,4035,1400,3.866666667,75
206,7381,2600,4781,3854,1254,3.866666667,75.9
209,6798,2619,4179,3682,1063,4.066666667,74.2
211,6066,1344,4722,1925,581,3.8,75
212,7536,2669,4867,3908,1239,3.933333333,75.05
213,6722,2860,3862,4350,1490,4.4,75.85
214,6608,2263,4345,3448,1185,3.933333333,76.65
216,6981,2628,4353,3817,1189,4.133333333,75.1
217,6488,2032,4456,3129,1097,3.733333333,75.05
218,6892,2468,4424,3684,1216,4,74.3
219,5652,1757,3895,2840,1083,3.866666667,75.85
220,7389,2772,4617,3938,1166,4,74.35
222,7015,2654,4361,4113,1459,3.733333333,74.25
223,5672,1153,4519,1766,613,3.866666667,75
224,6241,2084,4157,3121,1037,3.8,73.4
225,5743,1784,3959,2772,988,3.933333333,75.1
226,6362,2073,4289,3088,1015,3.8,72.65
227,5881,1732,4149,2735,1003,3.866666667,75.15
230,5868,1316,4552,1997,681,4,76.65
231,5442,1231,4211,2010,779,3.733333333,75
232,6763,2586,4177,3918,1332,4.133333333,73.4
233,2980,292,2688,557,265,3.8,74.3
235,5516,1908,3608,2994,1086,4,75.1
237,6410,2525,3885,3639,1114,4.2,74.3
239,6952,2620,4332,3978,1358,4.133333333,73.3
240,4584,1820,2764,2758,938,4.133333333,74.35
241,6499,2161,4338,3258,1097,3.866666667,74.2
242,6750,2706,4044,3801,1095,4.266666667,74.35
243,6147,2120,4027,3256,1136,3.933333333,75.15
244,6405,2353,4052,3563,1210,4.133333333,75.1
246,7106,2773,4333,3979,1206,4.133333333,75.05
247,6009,2133,3876,3188,1055,4,73.35
248,6065,1870,4195,3037,1167,3.933333333,75.05
249,5155,1434,3721,2324,890,3.866666667,74.25
